City,Province,Population,BirthRate,DeathRate,MigrationRate,PopulationPercentage,Latitude,Longitude
Toronto,Ontario,6313164,0.0105,0.0075,0.0042,0.161797176,43.65107,-79.347015
Montreal,Quebec,4388199,0.009,0.008,0.0025,0.112463133,45.501689,-73.567256
Vancouver,British Columbia,2622422,0.0093,0.0072,0.0039,0.067208847,49.28273,-123.120735
Calgary,Alberta,1392609,0.0115,0.0069,0.0051,0.035690535,51.044733,-114.071883
Edmonton,Alberta,1321426,0.0115,0.0069,0.0051,0.033866219,53.546124,-113.493823
Ottawa,Ontario,1482018,0.0105,0.0075,0.0042,0.037981958,45.42153,-75.697193
Winnipeg,Manitoba,749607,0.0101,0.0085,0.002,0.019211333,49.895138,-97.138374
Quebec City,Quebec,839311,0.009,0.008,0.0025,0.021510315,46.813878,-71.207981
Hamilton,Ontario,785184,0.0105,0.0075,0.0042,0.02012312,43.255721,-79.871102
Kitchener,Ontario,593833,0.0105,0.0075,0.0042,0.015219073,43.451639,-80.492533
London,Ontario,543551,0.0105,0.0075,0.0042,0.013930419,42.984923,-81.245277
Halifax,Nova Scotia,448544,0.0085,0.0101,-0.001,0.011495528,44.648764,-63.575239
Victoria,British Columbia,397237,0.0093,0.0072,0.0039,0.010180604,48.428421,-123.365644
Oshawa,Ontario,415311,0.0105,0.0075,0.0042,0.010643815,43.897092,-78.865791
Windsor,Ontario,422630,0.0105,0.0075,0.0042,0.01083139,42.314937,-83.036363
Saskatoon,Saskatchewan,330674,0.011,0.0082,0.0015,0.008474692,52.133214,-106.670046
Regina,Saskatchewan,263184,0.011,0.0082,0.0015,0.006745022,50.445211,-104.618896
Sherbrooke,Quebec,227398,0.009,0.008,0.0025,0.005827879,45.404171,-71.892894
St. John's,Newfoundland and Labrador,212579,0.0081,0.0095,-0.002,0.005448089,47.561509,-52.712576
Barrie,Ontario,212667,0.0105,0.0075,0.0042,0.005450345,44.389355,-79.690332
Kelowna,British Columbia,222162,0.0093,0.0072,0.0039,0.005693688,49.888044,-119.49601
Abbotsford,British Columbia,200252,0.0093,0.0072,0.0039,0.005132166,49.050437,-122.30447
Trois-Rivières,Quebec,161489,0.009,0.008,0.0025,0.004138727,46.345157,-72.547719
Kingston,Ontario,172546,0.0105,0.0075,0.0042,0.004422102,44.231172,-76.485954
Moncton,New Brunswick,157717,0.0083,0.009,-0.0015,0.004042056,46.087816,-64.778231
